date,Open,High,Low,Close,Volume_(BTC)
2013-04-06 20:00:00,143.5,143.869,143.0,143.5,105.182
2013-04-06 20:30:00,143.5,144.0,142.9,144.0,826.999
2013-04-06 21:00:00,142.75,143.32,142.75,143.3,46.518
2013-04-06 21:30:00,143.131,143.99,143.131,143.97,3.503
2013-04-06 22:00:00,144.0,144.348,144.0,144.348,6.236
2013-04-06 22:30:00,144.0,144.5,144.0,144.48,101.645
2013-04-06 23:00:00,144.482,144.5,144.001,144.01,115.957
2013-04-06 23:30:00,144.001,144.25,144.001,144.25,104.192
2013-04-07 00:00:00,144.1,144.39,143.501,144.39,59.187
2013-04-07 00:30:00,144.35,144.45,143.81,144.11,55.769
2013-04-07 01:30:00,144.5,144.5,144.26,144.26,6.593
2013-04-07 02:00:00,144.301,144.535,144.301,144.5,250.483
2013-04-07 02:30:00,144.4,144.85,144.4,144.5,61.25
2013-04-07 03:00:00,144.9,144.98,144.9,144.98,44.265
2013-04-07 03:30:00,144.978,144.98,144.7,144.7,17.62
2013-04-07 04:00:00,144.188,144.188,144.001,144.188,4.154
2013-04-07 04:30:00,145.324,146.21,145.3,146.0,52.413
2013-04-07 05:00:00,146.3,146.9,146.0,146.1,49.324
2013-04-07 05:30:00,146.5,149.0,146.5,148.001,382.573
2013-04-07 06:00:00,147.465,149.5,147.28,148.98,369.735
2013-04-07 06:30:00,148.9,150.0,147.65,148.85,185.518
2013-04-07 07:00:00,148.799,148.97,148.13,148.97,116.933
2013-04-07 07:30:00,148.89,153.9,148.75,153.0,264.317
2013-04-07 08:00:00,152.99,156.9,152.0,156.9,953.696
2013-04-07 08:30:00,155.0,155.0,153.5,154.97,63.765
2013-04-07 09:00:00,154.97,155.0,153.75,154.5,79.206
2013-04-07 09:30:00,154.99,158.0,154.99,157.0,270.128
2013-04-07 10:00:00,156.5,157.4,154.899,156.0,222.202
2013-04-07 10:30:00,155.201,158.185,155.201,156.21,40.425
2013-04-07 11:00:00,156.8,159.5,156.8,159.5,183.027
2013-04-07 11:30:00,158.9,159.506,158.235,159.506,332.255
2013-04-07 12:00:00,159.61,162.75,159.1,161.185,43.338
2013-04-07 12:30:00,161.99,161.99,153.51,155.75,1023.749
2013-04-07 13:00:00,155.75,160.0,153.5,158.9,610.223
2013-04-07 13:30:00,155.777,158.5,155.099,158.5,134.275
2013-04-07 14:00:00,159.96,161.0,158.242,161.0,375.381
2013-04-07 14:30:00,160.88,162.0,159.676,160.85,295.384
2013-04-07 15:00:00,158.998,159.981,158.269,158.5,66.468
2013-04-07 15:30:00,159.31,159.765,157.015,158.0,178.361
2013-04-07 16:00:00,158.1,159.75,158.0,159.6,51.23
2013-04-07 16:30:00,159.999,162.4,159.999,162.3,162.014
2013-04-07 17:00:00,162.591,164.0,162.581,163.2,342.169
2013-04-07 17:30:00,163.5,164.75,162.475,164.0,245.223
2013-04-07 18:00:00,163.5,164.5,160.7,161.0,54.711
2013-04-07 18:30:00,160.851,162.474,160.65,162.0,32.587
2013-04-07 19:00:00,162.38,162.38,161.38,161.75,24.794
2013-04-07 19:30:00,162.0,163.8,161.89,162.304,111.434
2013-04-07 20:00:00,163.9,164.238,163.2,164.225,56.071
2013-04-07 20:30:00,164.9,170.0,164.89,167.847,302.901
2013-04-07 21:00:00,168.999,171.0,168.95,171.0,300.854
2013-04-07 21:30:00,171.02,174.4,169.0,174.4,347.029
2013-04-07 22:00:00,172.5,175.0,170.05,173.51,245.436
2013-04-07 22:30:00,173.51,174.1,171.0,171.457,123.505
2013-04-07 23:00:00,173.0,174.0,172.691,172.691,4.507
2013-04-07 23:30:00,172.0,172.6,166.693,170.002,3704.335
2013-04-08 00:00:00,169.99,171.0,168.9,169.427,330.442
2013-04-08 00:30:00,170.2,170.2,168.0,170.2,44.566
2013-04-08 01:00:00,171.43,174.0,171.4,173.85,156.046
2013-04-08 01:30:00,173.89,173.9,172.212,173.7,91.035
2013-04-08 02:00:00,173.9,175.5,171.8,175.5,61.25
2013-04-08 02:30:00,175.5,175.5,173.0,174.69,235.488
2013-04-08 03:00:00,173.976,176.933,173.0,176.92,568.066
2013-04-08 03:30:00,177.1,180.0,176.88,180.0,27.195
2013-04-08 04:00:00,182.0,183.001,181.0,182.0,153.967
2013-04-08 04:30:00,183.0,183.6,181.269,182.65,44.774
2013-04-08 05:00:00,182.57,185.0,182.57,185.0,74.858
2013-04-08 05:30:00,186.1,186.97,184.0,185.0,121.335
2013-04-08 06:00:00,185.134,186.0,182.0,182.0,639.545
2013-04-08 06:30:00,182.741,183.0,180.0,181.52,709.06
2013-04-08 07:00:00,181.89,183.85,181.01,183.801,142.396
2013-04-08 07:30:00,184.645,184.799,182.9,184.761,449.248
2013-04-08 08:00:00,184.463,187.188,182.678,186.0,756.148
2013-04-08 08:30:00,187.447,191.0,187.447,190.5,882.217
2013-04-08 09:00:00,190.0,190.6,188.9,188.95,108.269
2013-04-08 09:30:00,188.95,190.0,188.5,190.0,136.806
2013-04-08 10:00:00,189.88,192.23,188.5,192.225,2659.221
2013-04-08 10:30:00,192.25,194.57,192.246,194.0,47.899
2013-04-08 11:00:00,194.0,194.5,185.0,189.0,2951.433
2013-04-08 11:30:00,186.961,188.0,181.803,186.745,414.468
2013-04-08 12:00:00,184.916,186.0,173.01,173.056,821.197
2013-04-08 12:30:00,173.007,188.0,172.104,187.202,1824.702
2013-04-08 13:00:00,187.0,188.036,181.989,185.905,359.278
2013-04-08 13:30:00,181.0,185.0,179.199,181.264,282.699
2013-04-08 14:00:00,183.001,187.511,182.101,187.511,414.265
2013-04-08 14:30:00,188.291,190.0,182.57,186.001,926.222
2013-04-08 15:00:00,185.814,188.0,185.0,188.0,175.111
2013-04-08 15:30:00,187.0,190.002,187.0,190.002,334.544
2013-04-08 16:00:00,190.002,191.803,190.0,190.502,32.626
2013-04-08 16:30:00,191.001,193.0,185.0,188.212,80.307
2013-04-08 17:00:00,188.0,188.212,179.937,184.902,1770.45
2013-04-08 17:30:00,184.479,189.79,182.0,187.0,1098.882
2013-04-08 18:00:00,187.005,190.501,186.917,190.007,1407.562
2013-04-08 18:30:00,188.869,189.001,185.01,186.951,196.874
2013-04-08 19:00:00,185.01,187.0,184.998,186.848,67.074
2013-04-08 19:30:00,187.0,187.009,185.998,186.985,12.612
2013-04-08 20:00:00,186.8,188.85,186.8,188.0,5.307
2013-04-08 20:30:00,200.0,200.0,188.601,188.601,239.978
2013-04-08 21:00:00,188.579,191.0,188.559,191.0,67.919
2013-04-08 21:30:00,189.0,194.5,189.0,194.5,8.75
2013-04-08 22:00:00,190.51,194.5,190.0,191.0,43.657
2013-04-08 22:30:00,190.5,193.5,190.5,192.5,59.804
2013-04-08 23:00:00,194.5,194.5,192.007,192.007,83.545
2013-04-08 23:30:00,194.5,194.5,191.007,191.007,50.794
2013-04-09 00:00:00,192.0,192.0,192.0,192.0,2.014
2013-04-09 00:30:00,192.87,195.0,188.898,192.08,445.974
2013-04-09 01:00:00,192.421,193.6,192.08,193.0,85.907
2013-04-09 01:30:00,193.998,196.5,193.2,193.2,32.862
2013-04-09 02:00:00,196.5,205.0,190.801,190.801,18.631
2013-04-09 02:30:00,190.801,205.1,190.499,191.49,31.124
2013-04-09 03:00:00,191.49,193.007,191.49,193.001,12.491
2013-04-09 03:30:00,193.8,193.8,190.003,190.003,12.664
2013-04-09 04:00:00,194.01,194.01,194.01,194.01,2.45
2013-04-09 04:30:00,194.0,194.208,192.096,194.2,364.642
2013-04-09 05:00:00,194.2,194.2,193.703,193.703,26.95
2013-04-09 05:30:00,195.0,195.0,193.8,194.5,149.254
2013-04-09 06:00:00,198.0,199.0,194.552,195.001,7.276
2013-04-09 06:30:00,195.0,214.97,195.0,200.101,510.831
2013-04-09 07:00:00,224.0,224.0,199.699,202.501,252.775
2013-04-09 07:30:00,202.901,210.0,202.309,207.02,1120.621
2013-04-09 08:00:00,204.47,205.015,202.937,203.0,577.434
2013-04-09 08:30:00,206.901,227.0,205.558,209.405,609.695
2013-04-09 09:00:00,214.9,214.9,205.82,206.74,326.739
2013-04-09 09:30:00,204.5,210.0,204.5,208.668,201.134
2013-04-09 10:00:00,212.0,215.0,211.99,215.0,298.266
2013-04-09 10:30:00,215.0,223.99,215.0,223.99,232.513
2013-04-09 11:00:00,218.38,221.938,215.0,221.938,685.163
2013-04-09 11:30:00,219.953,223.5,218.422,223.5,1358.646
2013-04-09 12:00:00,223.0,225.898,221.89,225.0,229.002
2013-04-09 12:30:00,225.0,228.0,221.89,224.33,965.509
2013-04-09 13:00:00,225.048,230.427,219.83,230.427,103.272
2013-04-09 13:30:00,227.953,235.009,227.953,234.011,505.067
2013-04-09 14:00:00,233.93,240.2,233.93,240.0,1205.869
2013-04-09 14:30:00,238.0,239.9,225.1,230.15,495.127
2013-04-09 15:00:00,231.75,239.898,229.1,235.309,888.298
2013-04-09 15:30:00,237.075,239.0,231.5,232.12,148.705
2013-04-09 16:00:00,231.15,236.5,231.0,232.99,290.628
2013-04-09 16:30:00,232.99,236.036,232.99,235.0,234.466
2013-04-09 17:00:00,235.109,237.536,234.046,237.49,209.112
2013-04-09 17:30:00,237.49,237.99,234.805,235.01,99.536
2013-04-09 18:00:00,237.0,249.97,235.02,237.3,177.751
2013-04-09 18:30:00,235.17,235.413,233.013,233.301,719.144
2013-04-09 19:00:00,234.0,234.0,230.0,233.0,483.911
2013-04-09 19:30:00,233.0,233.0,228.0,232.99,198.555
2013-04-09 20:00:00,228.669,233.0,227.0,228.01,171.869
2013-04-09 20:30:00,233.0,235.0,229.45,229.45,271.289
2013-04-09 21:00:00,235.033,236.0,234.108,234.28,71.709
2013-04-09 21:30:00,232.0,235.0,231.452,233.115,90.173
2013-04-09 22:00:00,233.49,236.0,233.49,236.0,35.083
2013-04-09 22:30:00,233.998,236.0,233.998,236.0,7.64
2013-04-09 23:00:00,233.17,233.23,233.08,233.08,34.03
2013-04-09 23:30:00,234.273,235.0,232.994,234.887,408.879
2013-04-10 00:00:00,232.0,234.89,231.621,233.667,768.184
2013-04-10 00:30:00,232.0,232.0,230.0,232.0,81.832
2013-04-10 01:00:00,233.0,234.0,233.0,233.998,328.842
2013-04-10 02:30:00,231.75,234.5,231.75,234.5,72.275
2013-04-10 03:00:00,234.19,235.0,234.0,234.497,182.613
2013-04-10 03:30:00,235.958,238.97,235.49,235.785,433.108
2013-04-10 04:00:00,235.1,238.9,235.001,238.9,82.426
2013-04-10 04:30:00,236.5,237.093,236.0,236.351,8.819
2013-04-10 05:00:00,239.6,247.7,239.6,247.7,35.77
2013-04-10 05:30:00,249.97,265.0,248.034,252.0,286.895
2013-04-10 06:00:00,249.886,255.0,249.883,249.999,218.254
2013-04-10 06:30:00,247.2,250.001,247.2,249.9,218.099
2013-04-10 07:00:00,249.901,249.901,247.743,248.967,158.808
2013-04-10 07:30:00,250.0,254.906,250.0,254.012,205.165
2013-04-10 08:00:00,254.995,265.505,254.995,265.505,63.872
2013-04-10 08:30:00,264.705,274.97,262.1,262.1,81.977
2013-04-10 09:00:00,262.0,290.0,254.994,254.996,682.864
2013-04-10 09:30:00,255.903,256.0,232.8,247.312,661.045
2013-04-10 10:00:00,246.097,263.0,242.0,252.286,475.447
2013-04-10 10:30:00,252.994,259.0,250.0,250.0,357.138
2013-04-10 11:00:00,249.0,255.022,245.0,249.028,358.196
2013-04-10 11:30:00,247.0,247.253,238.222,246.89,719.608
2013-04-10 12:00:00,235.0,244.0,230.0,230.0,187.699
